dispID,tlX,tlY,brX,brY,spotID
0,573,100,693,372,29
1,715,100,835,372,30
2,857,100,977,372,31
3,999,100,1119,372,32
4,1141,100,1261,372,33
5,1283,100,1403,372,34
6,1425,100,1545,372,35
7,1567,100,1687,372,36
8,1709,100,1829,372,37
9,1851,100,1971,372,38
10,1993,100,2113,372,39
11,2135,100,2255,372,40
12,152,775,274,1049,17
13,294,775,416,1049,18
14,436,775,558,1049,19
15,578,775,700,1049,20
16,720,775,842,1049,21
17,862,775,984,1049,22
18,1004,775,1126,1049,-1
19,1146,775,1268,1049,23
20,1288,775,1410,1049,24
21,1430,775,1552,1049,25
22,1572,775,1694,1049,26
23,1714,775,1836,1049,27
24,1856,775,1978,1049,28
25,152,1081,274,1350,4
26,294,1081,416,1350,5
27,436,1081,558,1350,6
28,578,1081,700,1350,7
29,720,1081,842,1350,8
30,862,1081,984,1350,9
31,1004,1081,1126,1350,10
32,1146,1081,1268,1350,11
33,1288,1081,1410,1350,12
34,1430,1081,1552,1350,13
35,1572,1081,1694,1350,14
36,1714,1081,1836,1350,15
37,1856,1081,1978,1350,16
38,152,1742,274,2018,-2
39,294,1742,416,2018,-2
40,436,1742,558,2018,-2
41,578,1742,700,2018,0
42,720,1742,842,2018,1
43,862,1742,984,2018,2
44,1004,1742,1126,2018,3
45,1145,1830,1209,1977,41
46,1223,1830,1287,1977,42
47,1301,1830,1365,1977,43
48,1379,1830,1443,1977,44
49,1457,1830,1521,1977,45
50,1535,1830,1599,1977,46
51,1613,1830,1677,1977,47
52,1691,1830,1755,1977,48
53,1769,1830,1833,1977,49
54,1847,1830,1911,1977,50
