0,603,1683,286,2073,683,2076,923,1686
1,923,1683,690,2073,1080,2073,1246,1683
2,1240,1680,1083,2080,1476,2066,1566,1676
3,1556,1673,1470,2066,1870,2060,1883,1673
4,376,1170,136,1343,386,1350,596,1173
5,600,1176,396,1350,640,1350,813,1170
6,823,1173,650,1356,893,1350,1030,1183
7,1023,1180,896,1350,1150,1350,1250,1180
8,1253,1180,1150,1346,1406,1343,1466,1183
9,1476,1176,1403,1350,1656,1350,1696,1180
10,1680,1176,1653,1356,1896,1343,1906,1183
11,1903,1186,1893,1350,2143,1346,2120,1183
12,2116,1186,2146,1356,2393,1346,2333,1183
13,2326,1180,2396,1356,2640,1360,2543,1183
14,2543,1183,2646,1356,2896,1360,2773,1176
15,2766,1176,2900,1366,3156,1360,2990,1193
16,2990,1183,3160,1363,3366,1356,3183,1190
17,563,1036,380,1166,596,1173,733,1050
18,743,1046,593,1176,816,1173,940,1036
19,943,1036,823,1176,1030,1186,1136,1046
20,1136,1046,1026,1183,1250,1180,1333,1050
21,1333,1046,1256,1183,1480,1186,1520,1046
22,1523,1046,1476,1176,1686,1176,1723,1050
23,1906,1046,1906,1190,2123,1186,2096,1053
24,2096,1046,2123,1186,2333,1183,2290,1056
25,2290,1046,2333,1183,2553,1186,2483,1053
26,2486,1053,2550,1186,2773,1186,2673,1050
27,2673,1053,2776,1190,2996,1190,2883,1063
28,2876,1056,3000,1190,3190,1190,3043,1056
29,1310,820,1243,903,1416,913,1456,826
30,1463,823,1420,916,1576,910,1606,820
31,1610,816,1576,910,1740,903,1756,826
32,1753,826,1746,910,1903,906,1906,833
33,1903,833,1910,910,2066,906,2053,830
34,2056,826,2066,903,2233,913,2206,830
35,2203,823,2233,913,2403,906,2356,833
36,2356,826,2403,916,2566,913,2500,826
37,2500,823,2563,920,2736,916,2656,826
38,2663,830,2730,916,2906,920,2813,830
39,2813,830,2913,920,3080,920,2950,820
40,2956,823,3086,926,3233,920,3106,826
41,1880,1763,1870,1976,2080,1983,2070,1763
42,2066,1766,2083,1983,2293,1983,2250,1763
43,2253,1756,2290,1990,2500,1980,2440,1770
44,2433,1766,2500,1983,2713,1976,2620,1766
45,2620,1766,2713,1980,2926,1980,2810,1766
46,2806,1763,2923,1973,3140,1973,2996,1770
47,3000,1773,3140,1983,3353,1990,3190,1770
48,3190,1773,3353,1983,3560,1986,3366,1770
49,3366,1770,3556,1986,3770,1993,3553,1770
50,3550,1770,3770,1996,3980,1996,3736,1770
