0,1483,970,1406,1086,1603,1076,1660,970
1,1663,966,1603,1076,1810,1070,1853,966
2,1850,960,1796,1070,2013,1056,2033,953
3,2033,953,2013,1063,2220,1063,2230,956
4,2230,953,2216,1073,2430,1060,2416,960
5,2416,960,2426,1060,2633,1060,2603,963
6,2603,963,2633,1060,2836,1060,2790,963
7,2790,963,2836,1063,3040,1063,2973,960
8,2973,960,3043,1066,3230,1063,3153,970
9,3153,970,3223,1070,3420,1070,3316,973
10,3316,973,3420,1073,3603,1080,3480,983
11,3480,980,3606,1083,3760,1086,3643,990
12,666,1273,483,1423,700,1423,843,1266
13,843,1266,683,1420,913,1416,1053,1260
14,1053,1260,906,1416,1153,1413,1270,1250
15,1270,1250,1146,1413,1393,1413,1500,1246
16,1500,1246,1390,1420,1660,1410,1730,1240
17,1730,1240,1650,1416,1923,1413,1966,1233
18,2206,1240,2193,1413,2470,1403,2450,1240
19,2450,1240,2470,1410,2740,1403,2690,1240
20,2690,1240,2736,1410,3006,1403,2930,1236
21,2930,1236,3000,1406,3260,1406,3166,1233
22,3160,1233,3260,1403,3500,1406,3373,1243
23,3373,1243,3503,1410,3696,1406,3560,1250
24,480,1423,270,1613,493,1620,686,1423
25,686,1420,496,1620,730,1623,906,1420
26,910,1420,726,1620,983,1626,1146,1416
27,1146,1416,986,1633,1273,1623,1390,1420
28,1390,1413,1270,1623,1566,1610,1656,1416
29,1656,1406,1560,1613,1866,1620,1923,1413
30,1923,1406,1870,1623,2176,1613,2193,1410
31,2193,1410,2173,1626,2493,1620,2470,1406
32,2470,1406,2490,1623,2803,1620,2736,1410
33,2740,1410,2800,1630,3106,1616,3003,1403
34,3003,1403,3113,1620,3396,1610,3263,1403
35,3260,1403,3396,1616,3656,1610,3496,1406
36,3503,1406,3656,1613,3870,1606,3696,1406
37,410,1976,120,2340,430,2380,693,2000
38,696,1993,426,2386,790,2420,1020,2013
39,1020,2006,773,2423,1190,2453,1376,2013
40,1376,2013,1180,2450,1633,2470,1746,2023
41,1746,2023,1626,2476,2096,2480,2133,2023
